"playWithAFriend","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). This creates a unique URL that you can send to someone and play.","Play with a friend","Mängi sõbraga"
"playWithTheMachine","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). Translate ""machine"" as ""[chess] engine"" if it sounds better in your language, omitting the word ""chess"".","Play with the machine","Mängi arvuti vastu"
"toInviteSomeoneToPlayGiveThisUrl","This appears after you have created a game for a friend (through the ""Play with a friend"" menu). Feel free to translate ""URL"" as ""address"", or whatever is most familiar in your language.","To invite someone to play, give this URL","Et kutsuda kedagi mängima, anna talle see URL"
"gameOver","This appears in the right-hand side box when a game ends.","Game Over","Mäng läbi"
"waitingForOpponent","Indicates you are waiting for an opponent to join your game. This appears after you have created a public game (through the ""Create a game"" menu).","Waiting for opponent","Ootan vastast"
"waiting","This appears in the challenges box, when you are waiting for the opponent the accept the challenge.","Waiting","Ootan"
"yourTurn","This appears in the box while you are playing a game. It indicates it is your turn to play.","Your turn","Sinu käik"
"aiNameLevelAiLevel","AI name and level, e.g. ""Stockfish level 3"". Note that the ""Stockfish"" part will always be first no matter where you place the %s, though you can rearrange them to e.g. ""%s at %s levels"", which would produce e.g. ""Stockfish at 3 levels"". Use the translation that sounds best in your language. Appears in the box on the left-hand side in the page of the game, and also on your profile, in the list of games.","%s level %s","%s tase %s"
"level","This appears in the ""Play with the machine"" menu (https://lichess.org/setup/ai) as a heading. Below it are skill levels (1 through 8) of the AI that you can play against.","Level","Tase"
"toggleTheChat","Turns the chat room (or player chat) on or off. This is the mouseover text of the checkbox on the top-right of the chat box.","Toggle the chat","Lülita vestlus"
"toggleSound","Clicking this turns sound on or off. This is a button on the top-right hand corner of the screen. If you use the Internet Explorer browser, you may not be able to see this.","Toggle sound","Lülita heli"
"chat","Start a conversation with a player. Appears in the user tooltip when hovering a user name.","Chat","Vestlus"
"resign","Clicking this makes you resign from the game. Small button in the box on the right while playing a game.","Resign","Alistu"
"checkmate","Appears in the box of a game if you end a game by checkmate.","Checkmate","Matt"
"stalemate","If you do not know what this rule is, see https://www.chessvariants.org/d.chess/matefaq.html. Appears in the box of a game if you end a game by stalemate. Please use the official term used by your country's or locale's chess federation or club.","Stalemate","Patt"
"white","The mouseover text of the White King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","White","Valge"
"black","The mouseover text of the Black King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Black","Must"
"randomColor","Makes Lichess randomly pick a side (White or Black) for you. The mouseover text of the large button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Random side","Suvaline värv"
"createAGame","This button opens a menu (https://lichess.org/setup/hook) that lets you create a game that is listed in the list (or graph) of open games. It is one of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/).","Create a game","Loo mäng"
"whiteIsVictorious","Indicates the white player won the game. This appears in the top left box of a game, and also the player profile.","White is victorious","Valge on võitnud"
"blackIsVictorious","Indicates the black player won the game. This appears in the top left box of a game, and also the player profile.","Black is victorious","Must on võitnud"
"kingInTheCenter","Indicates that the game was won by the King being in one of the center tiles (King of the hill variant: https://lichess.org/king-of-the-hill).","King in the center","Kuningas keskel"
"threeChecks","Indicates that the game was won by a player checking their opponent three times. Only for the Three-check variant.","Three checks","Kolmetulemale"
"raceFinished","Ending message of a Racing Kings game (https://lichess.org/variant/racingKings).","Race finished","Võiduajamine lõpetatud"
"variantEnding","Indicates that the game was won due to variant special rules. Shown when no more specialized message is available.","Variant ending","Käikude kordamine"
"newOpponent","Clicking this takes you back to the ""Play"" page (https://lichess.org). This is a button that appears at the end of a game just below the ""Rematch"" button.","New opponent","Uus vastane"
"yourOpponentWantsToPlayANewGameWithYou","This sentence appears when your opponent offers you a rematch.","Your opponent wants to play a new game with you","Sinu vastane soovib mängida uut mängu sinuga"
"joinTheGame","Clicking this lets you join a new game against the same opponent. This is one of the two buttons that appear when your opponent offers you a rematch.","Join the game","Liitu mänguga"
"whitePlays","This is what a spectator sees in the right-hand box when watching a game and it is White's turn to play.","White to play","Valge mängib"
"blackPlays","This is what a spectator sees in the right-hand box when watching a game and it is Black's turn to play.","Black to play","Must mängib"
"theOtherPlayerHasLeftTheGameYouCanForceResignationOrWaitForHim","This appears after 3 minutes have elapsed with one player disconnected. Below it are two buttons: ""Claim victory"" and ""Call draw"".","The other player may have left the game. You can claim victory, call the game a draw, or wait.","Vastane on lahkunud mängust. Sa võid sundida, et mängija alistuks või ootad."
"makeYourOpponentResign","The mouseover text of ""Claim victory"". You do not have to translate it like this; you can translate to e.g. ""Force victory"", or whatever best explains the button in your language. Mouseover texts can be as long as you want, within reason.","Make your opponent resign","Pane vastane alistuma"
"forceResignation","Clicking this ends the game and grants you the win. One of the two buttons that appears when your opponent leaves the game.","Claim victory","Sunni alistuma"
"forceDraw","Clicking this draws the game. It is considered the more ""chivalrous"" option of the two. One of the two buttons that appears when your opponent leaves the game.","Call draw","Sunni viiki"
"talkInChat","Chat input placeholder, encouraging players to behave. Visible in every chat, like on https://lichess.org/tournament/summer15. Keep it short so it fits in the input box.","Please be nice in the chat!","Räägi jututoas"
"theFirstPersonToComeOnThisUrlWillPlayWithYou","Informs you that Lichess waiting for your friend to visit the link. This appears at the top of the pane after you have created a game through the ""Play with a friend"" menu.","The first person to come to this URL will play with you.","Esimene inimene kes selle URLi peale klikib, mängib sinuga."
"whiteResigned","This sentence appears in the right hand-side box in a game, the list of games on the profile, and also the left hand-side box in a game when the White player resigns from the game.","White resigned","Valge alistus"
"blackResigned","This sentence appears in the right hand-side box in a game, the list of games on the profile, and also the left hand-side box in a game when the Black player resigns from the game.","Black resigned","Must alistus"
"whiteLeftTheGame","This appears when the White player leaves the game either by aborting or by being absent for too long. It can found in the right hand-side box in a game, the list of games on the profile and also the left hand-side box in a game.","White left the game","Valge lahkus mängust"
"blackLeftTheGame","This sentence appears when the Black player leaves the game either by aborting or by being absent for too long. It can found in the right hand-side box in a game, the list of games on the profile and also the left hand-side box in a game.","Black left the game","Must lahkus mängust"
"shareThisUrlToLetSpectatorsSeeTheGame","The mouseover text of the link just below the board which you can send to people so they can watch the game.","Share this URL to let spectators see the game","Jaga seda linki, et pealtvaatajad näeksid mängu"
"theComputerAnalysisHasFailed","This is an error message that appears when the computer analysis cannot be displayed for some reason. It appears the ""Computer analysis"" tab.","The computer analysis has failed","Arvuti analüüs ei tulnud välja"
"viewTheComputerAnalysis","Clicking this button takes you to the computer analysis. The sentence appears only for the player that requested it, in the ""Computer analysis"" tab.","View the computer analysis","Vaata arvuti analüüsi"
"requestAComputerAnalysis","Clicking this puts the game in the queue for computer analysis, which is usually completed within a minute. This is one of the actions below the board in the ""Replay and analyse"" view.","Request a computer analysis","Nõua arvuti analüüsi"
"computerAnalysis","An automated analysis of a game performed by lichess. It provides an advantage charts and possible variation for a game. Appears as a tab below the chess board in replay and analysis views. Example: https://lichess.org/vyvcbk8s","Computer analysis","Arvuti hinnang"
"analysis","Button that leads to analysis page. Appears only on your own games, after they have finished.","Analysis board","Analüüs"
"blunders","This is one of the categories of problems discovered by the computer analysis. If no equivalent word exists, translate to ""Serious mistakes"".","Blunders","vigu"
"mistakes","This is one of the categories of problems discovered by the computer analysis. Appears on the right hand side of pages with analyzed games. Example: https://lichess.org/vyvcbk8s","Mistakes","eksimusi"
"inaccuracies","The most minor of errors a player can make. This is one of the categories of problems discovered by the computer analysis.","Inaccuracies","ebatäpsused"
"moveTimes","Time spent on each move by the players. Appears as a tab in the ""Replay and analyse"" view, below the chess board. Example: https://lichess.org/6iaj1eh0","Move times","Aeg käikudele"
"flipBoard","Clicking this flips the board upside-down. This sentence is one of the links in the box normally below the board.","Flip board","Keera lauda"
"threefoldRepetition","This is one of the conditions by which a game ends. It appears on the box on the right-hand side of the screen. It also appears in player profiles. Please use the official term used by your country's or locale's chess federation or club.","Threefold repetition","Kolmekordne kordus"
