"playWithAFriend","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). This creates a unique URL that you can send to someone and play.","Play with a friend","मित्र के साथ खेलें"
"playWithTheMachine","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). Translate ""machine"" as ""[chess] engine"" if it sounds better in your language, omitting the word ""chess"".","Play with the machine","कंप्यूटर के साथ खेलें"
"toInviteSomeoneToPlayGiveThisUrl","This appears after you have created a game for a friend (through the ""Play with a friend"" menu). Feel free to translate ""URL"" as ""address"", or whatever is most familiar in your language.","To invite someone to play, give this URL","इस खेल में किसी को आमंत्रित करने के लिए उन्हें ये पता दें"
"gameOver","This appears in the right-hand side box when a game ends.","Game Over","खेल समाप्त"
"waitingForOpponent","Indicates you are waiting for an opponent to join your game. This appears after you have created a public game (through the ""Create a game"" menu).","Waiting for opponent","आप प्रतिद्वंदी की प्रतीक्षा कर रहे हैं"
"waiting","This appears in the challenges box, when you are waiting for the opponent the accept the challenge.","Waiting","प्रतिद्वंदी के चुनौती स्वीकार करने की प्रतीक्षा कर रहे हैं"
"yourTurn","This appears in the box while you are playing a game. It indicates it is your turn to play.","Your turn","आपकी चाल"
"aiNameLevelAiLevel","AI name and level, e.g. ""Stockfish level 3"". Note that the ""Stockfish"" part will always be first no matter where you place the %s, though you can rearrange them to e.g. ""%s at %s levels"", which would produce e.g. ""Stockfish at 3 levels"". Use the translation that sounds best in your language. Appears in the box on the left-hand side in the page of the game, and also on your profile, in the list of games.","%s level %s","%s स्तर %s वाला"
"level","This appears in the ""Play with the machine"" menu (https://lichess.org/setup/ai) as a heading. Below it are skill levels (1 through 8) of the AI that you can play against.","Level","स्तर"
"toggleTheChat","Turns the chat room (or player chat) on or off. This is the mouseover text of the checkbox on the top-right of the chat box.","Toggle the chat","बातचीत  को शुरू या बंद करें"
"toggleSound","Clicking this turns sound on or off. This is a button on the top-right hand corner of the screen. If you use the Internet Explorer browser, you may not be able to see this.","Toggle sound","ध्वनि को चालू या बंद करें"
