"playWithAFriend","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). This creates a unique URL that you can send to someone and play.","Play with a friend","友達と対局する"
"playWithTheMachine","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). Translate ""machine"" as ""[chess] engine"" if it sounds better in your language, omitting the word ""chess"".","Play with the machine","AIと対局する"
"toInviteSomeoneToPlayGiveThisUrl","This appears after you have created a game for a friend (through the ""Play with a friend"" menu). Feel free to translate ""URL"" as ""address"", or whatever is most familiar in your language.","To invite someone to play, give this URL","対局に招待するときこのURLを知らせてください"
"gameOver","This appears in the right-hand side box when a game ends.","Game Over","終局"
"waitingForOpponent","Indicates you are waiting for an opponent to join your game. This appears after you have created a public game (through the ""Create a game"" menu).","Waiting for opponent","相手を待っています"
"waiting","This appears in the challenges box, when you are waiting for the opponent the accept the challenge.","Waiting","待機中"
"yourTurn","This appears in the box while you are playing a game. It indicates it is your turn to play.","Your turn","あなたの手番です"
"aiNameLevelAiLevel","AI name and level, e.g. ""Stockfish level 3"". Note that the ""Stockfish"" part will always be first no matter where you place the %s, though you can rearrange them to e.g. ""%s at %s levels"", which would produce e.g. ""Stockfish at 3 levels"". Use the translation that sounds best in your language. Appears in the box on the left-hand side in the page of the game, and also on your profile, in the list of games.","%s level %s","%s レべル %s"
"level","This appears in the ""Play with the machine"" menu (https://lichess.org/setup/ai) as a heading. Below it are skill levels (1 through 8) of the AI that you can play against.","Level","レベル"
"toggleTheChat","Turns the chat room (or player chat) on or off. This is the mouseover text of the checkbox on the top-right of the chat box.","Toggle the chat","チャットのオン・オフ"
"toggleSound","Clicking this turns sound on or off. This is a button on the top-right hand corner of the screen. If you use the Internet Explorer browser, you may not be able to see this.","Toggle sound","音声のオン・オフ"
"chat","Start a conversation with a player. Appears in the user tooltip when hovering a user name.","Chat","チャット"
"resign","Clicking this makes you resign from the game. Small button in the box on the right while playing a game.","Resign","投了"
"checkmate","Appears in the box of a game if you end a game by checkmate.","Checkmate","チェックメイト"
"stalemate","If you do not know what this rule is, see https://www.chessvariants.org/d.chess/matefaq.html. Appears in the box of a game if you end a game by stalemate. Please use the official term used by your country's or locale's chess federation or club.","Stalemate","ステイルメイト"
"white","The mouseover text of the White King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","White","白"
"black","The mouseover text of the Black King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Black","黒"
"randomColor","Makes Lichess randomly pick a side (White or Black) for you. The mouseover text of the large button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Random side","ランダムカラー"
"createAGame","This button opens a menu (https://lichess.org/setup/hook) that lets you create a game that is listed in the list (or graph) of open games. It is one of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/).","Create a game","対局を作成する"
"whiteIsVictorious","Indicates the white player won the game. This appears in the top left box of a game, and also the player profile.","White is victorious","白の勝ちです"
"blackIsVictorious","Indicates the black player won the game. This appears in the top left box of a game, and also the player profile.","Black is victorious","黒の勝ちです"
"kingInTheCenter","Indicates that the game was won by the King being in one of the center tiles (King of the hill variant: https://lichess.org/king-of-the-hill).","King in the center","キングがセンターに入りました"
"threeChecks","Indicates that the game was won by a player checking their opponent three times. Only for the Three-check variant.","Three checks","三回チェックしました"
"raceFinished","Ending message of a Racing Kings game (https://lichess.org/variant/racingKings).","Race finished","レースが終了しました"
"variantEnding","Indicates that the game was won due to variant special rules. Shown when no more specialized message is available.","Variant ending","バリアントエンディング"
"newOpponent","Clicking this takes you back to the ""Play"" page (https://lichess.org). This is a button that appears at the end of a game just below the ""Rematch"" button.","New opponent","新しい相手"
"yourOpponentWantsToPlayANewGameWithYou","This sentence appears when your opponent offers you a rematch.","Your opponent wants to play a new game with you","相手がもう一度対戦したいと言っています"
"joinTheGame","Clicking this lets you join a new game against the same opponent. This is one of the two buttons that appear when your opponent offers you a rematch.","Join the game","対局に参加する"
"whitePlays","This is what a spectator sees in the right-hand box when watching a game and it is White's turn to play.","White to play","白番です"
"blackPlays","This is what a spectator sees in the right-hand box when watching a game and it is Black's turn to play.","Black to play","黒番です"
"theOtherPlayerHasLeftTheGameYouCanForceResignationOrWaitForHim","This appears after 3 minutes have elapsed with one player disconnected. Below it are two buttons: ""Claim victory"" and ""Call draw"".","The other player may have left the game. You can claim victory, call the game a draw, or wait.","相手が退席したようです。投了させる、引き分けにする、相手を待つ、のどれかを選んでください。"
"makeYourOpponentResign","The mouseover text of ""Claim victory"". You do not have to translate it like this; you can translate to e.g. ""Force victory"", or whatever best explains the button in your language. Mouseover texts can be as long as you want, within reason.","Make your opponent resign","相手を投了させる"
"forceResignation","Clicking this ends the game and grants you the win. One of the two buttons that appears when your opponent leaves the game.","Claim victory","投了させる"
"forceDraw","Clicking this draws the game. It is considered the more ""chivalrous"" option of the two. One of the two buttons that appears when your opponent leaves the game.","Call draw","引き分けにする"
"talkInChat","Chat input placeholder, encouraging players to behave. Visible in every chat, like on https://lichess.org/tournament/summer15. Keep it short so it fits in the input box.","Please be nice in the chat!","チャットする"
"theFirstPersonToComeOnThisUrlWillPlayWithYou","Informs you that Lichess waiting for your friend to visit the link. This appears at the top of the pane after you have created a game through the ""Play with a friend"" menu.","The first person to come to this URL will play with you.","このURLを最初にクリックした人があなたと対局します。"
"whiteResigned","This sentence appears in the right hand-side box in a game, the list of games on the profile, and also the left hand-side box in a game when the White player resigns from the game.","White resigned","白が投了しました"
"blackResigned","This sentence appears in the right hand-side box in a game, the list of games on the profile, and also the left hand-side box in a game when the Black player resigns from the game.","Black resigned","黒が投了しました"
"whiteLeftTheGame","This appears when the White player leaves the game either by aborting or by being absent for too long. It can found in the right hand-side box in a game, the list of games on the profile and also the left hand-side box in a game.","White left the game","白が退席しました"
"blackLeftTheGame","This sentence appears when the Black player leaves the game either by aborting or by being absent for too long. It can found in the right hand-side box in a game, the list of games on the profile and also the left hand-side box in a game.","Black left the game","黒が退席しました"
"shareThisUrlToLetSpectatorsSeeTheGame","The mouseover text of the link just below the board which you can send to people so they can watch the game.","Share this URL to let spectators see the game","誰かに対局を見てほしい場合、このURLを伝えてください"
"theComputerAnalysisHasFailed","This is an error message that appears when the computer analysis cannot be displayed for some reason. It appears the ""Computer analysis"" tab.","The computer analysis has failed","コンピューターの解析に失敗しました"
"viewTheComputerAnalysis","Clicking this button takes you to the computer analysis. The sentence appears only for the player that requested it, in the ""Computer analysis"" tab.","View the computer analysis","コンピューターの解析を見る"
"requestAComputerAnalysis","Clicking this puts the game in the queue for computer analysis, which is usually completed within a minute. This is one of the actions below the board in the ""Replay and analyse"" view.","Request a computer analysis","コンピューターの解析をリクエスト"
"computerAnalysis","An automated analysis of a game performed by lichess. It provides an advantage charts and possible variation for a game. Appears as a tab below the chess board in replay and analysis views. Example: https://lichess.org/vyvcbk8s","Computer analysis","コンピューター分析"
"analysis","Button that leads to analysis page. Appears only on your own games, after they have finished.","Analysis board","棋譜解析"
"blunders","This is one of the categories of problems discovered by the computer analysis. If no equivalent word exists, translate to ""Serious mistakes"".","Blunders","大悪手"
"mistakes","This is one of the categories of problems discovered by the computer analysis. Appears on the right hand side of pages with analyzed games. Example: https://lichess.org/vyvcbk8s","Mistakes","悪手"
"inaccuracies","The most minor of errors a player can make. This is one of the categories of problems discovered by the computer analysis.","Inaccuracies","疑問手"
"moveTimes","Time spent on each move by the players. Appears as a tab in the ""Replay and analyse"" view, below the chess board. Example: https://lichess.org/6iaj1eh0","Move times","消費時間"
"flipBoard","Clicking this flips the board upside-down. This sentence is one of the links in the box normally below the board.","Flip board","盤を反転させる"
"threefoldRepetition","This is one of the conditions by which a game ends. It appears on the box on the right-hand side of the screen. It also appears in player profiles. Please use the official term used by your country's or locale's chess federation or club.","Threefold repetition","同形三複"
"claimADraw","Clicking this draws the game. This a button that appears to players when threefold repetition occurs.","Claim a draw","引き分けの申し立て"
"offerDraw","Clicking this send an offer to draw the game to your opponent. This is a small button in the right-hand side box.","Offer draw","引き分けの提案"
"draw","This appears in various places, including players' profiles and the right-hand side boxes in individual games. It should be translated as a noun, NOT as a verb.","Draw","引き分け"
"nbConnectedPlayers","nbConnectedPlayers
The %s is the counter of how many players are connected right now. This sentence is displayed at the top of every page on lichess.","%d players","現在%s人接続中"
"gamesBeingPlayedRightNow","This is a shorter phrase for ""Games being played right now"". It is what the link at the top that says ""Games"" links to (https://lichess.org/games). Please try to keep your translation as short as possible.","Current games","現在対局中"
"viewAllNbGames","%s here is the number of all the games ever played on Lichess. Links to https://lichess.org/games/all.","%s Games","対局（全%s局）を見る"
"viewNbCheckmates","%s is the number of all the games that ended in checkmate on Lichess. Links to https://lichess.org/games/checkmate and is found on the left hand side of the ""Games"" pages.","%s Checkmates","チェックメイト（全%s回）を見る"
"nbBookmarks","%s is the number of games you have bookmarked. Links to https://lichess.org/games/bookmark. It only appears to registered users that have bookmarked certain games. It displays a list of your bookmarked games.","%s Bookmarks","%s個の ブックマーク"
"viewInFullSize","Clicking one of these small boards brings you to the game's unique page. This is the mouseover text of the small chess boards dotted around the site. These small boards are most prominent in the ""Games"" pages (https://lichess.org/games).","View in full size","フルサイズで見る"
"logOut","Clicking this signs you out of your lichess profile. This is part of the profile drop-down menu on the top of every page when you are signed in to an account.","Sign out","ログアウト"
"signIn","Clicking takes you to a form that allows you to sign into your lichess profile (account). This is a red-coloured button that appears at the navigation bar at the top when you are not signed in to an account, or playing anonymously. Please keep it as short as possible.","Sign in","ログイン"
"newToLichess","It is next to a button that allows you to register an account on the website. The translation should be friendly and inviting; free/loose translations are recommended for this sentence. This sentence appears on the ""Sign in"" page.","New to Lichess?","lichessは初めてですか？"
"youNeedAnAccountToDoThat","This error message appears when trying actions or going to pages that require being signed in with a user account.","You need an account to do that","アカウントが必要です"
"signUp","Clicking this allows you to register an account. Appears as a button on the ""Sign in"" page and the ""Training"" page (https://lichess.org/training) when playing unregistered (encouraging the player to register an account with Lichess). It is recommended to translate this word as a verb.","Register","登録"
"computersAreNotAllowedToPlay","The text users read when creating an account. Appears in the registration (new account) form (https://lichess.org/signup).","Computers and computer-assisted players are not allowed to play. Please do not get assistance from chess engines, databases, or from other players while playing. Also note that making multiple accounts is strongly discouraged and excessive multi-accounting will lead to being banned.","コンピューターの力を借りてのプレイは禁止されています。プレイ中にチェスエンジン、データベース、他のプレイヤーの助言を利用しないでください。また複数アカウントの使用もしないでください。ひどい場合は追放されます。"
