"playWithAFriend","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). This creates a unique URL that you can send to someone and play.","Play with a friend","친구와 게임하기"
"playWithTheMachine","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). Translate ""machine"" as ""[chess] engine"" if it sounds better in your language, omitting the word ""chess"".","Play with the machine","체스 엔진과 게임하기"
"toInviteSomeoneToPlayGiveThisUrl","This appears after you have created a game for a friend (through the ""Play with a friend"" menu). Feel free to translate ""URL"" as ""address"", or whatever is most familiar in your language.","To invite someone to play, give this URL","이 URL로 친구를 초대하세요"
"gameOver","This appears in the right-hand side box when a game ends.","Game Over","게임 종료"
"waitingForOpponent","Indicates you are waiting for an opponent to join your game. This appears after you have created a public game (through the ""Create a game"" menu).","Waiting for opponent","상대를 기다리는 중"
"waiting","This appears in the challenges box, when you are waiting for the opponent the accept the challenge.","Waiting","기다리는 중"
"yourTurn","This appears in the box while you are playing a game. It indicates it is your turn to play.","Your turn","내 차례"
"aiNameLevelAiLevel","AI name and level, e.g. ""Stockfish level 3"". Note that the ""Stockfish"" part will always be first no matter where you place the %s, though you can rearrange them to e.g. ""%s at %s levels"", which would produce e.g. ""Stockfish at 3 levels"". Use the translation that sounds best in your language. Appears in the box on the left-hand side in the page of the game, and also on your profile, in the list of games.","%s level %s","%s 레벨 %s"
"level","This appears in the ""Play with the machine"" menu (https://lichess.org/setup/ai) as a heading. Below it are skill levels (1 through 8) of the AI that you can play against.","Level","레벨"
"toggleTheChat","Turns the chat room (or player chat) on or off. This is the mouseover text of the checkbox on the top-right of the chat box.","Toggle the chat","채팅 끄기/켜기"
"toggleSound","Clicking this turns sound on or off. This is a button on the top-right hand corner of the screen. If you use the Internet Explorer browser, you may not be able to see this.","Toggle sound","음소거/음소거 해제"
"chat","Start a conversation with a player. Appears in the user tooltip when hovering a user name.","Chat","채팅"
"resign","Clicking this makes you resign from the game. Small button in the box on the right while playing a game.","Resign","기권하기"
"checkmate","Appears in the box of a game if you end a game by checkmate.","Checkmate","체크메이트"
"stalemate","If you do not know what this rule is, see https://www.chessvariants.org/d.chess/matefaq.html. Appears in the box of a game if you end a game by stalemate. Please use the official term used by your country's or locale's chess federation or club.","Stalemate","스테일메이트"
"white","The mouseover text of the White King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","White","흰색"
"black","The mouseover text of the Black King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Black","검은색"
"randomColor","Makes Lichess randomly pick a side (White or Black) for you. The mouseover text of the large button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Random side","무작위"
"createAGame","This button opens a menu (https://lichess.org/setup/hook) that lets you create a game that is listed in the list (or graph) of open games. It is one of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/).","Create a game","새 게임 만들기"
"whiteIsVictorious","Indicates the white player won the game. This appears in the top left box of a game, and also the player profile.","White is victorious","흰색 승리"
"blackIsVictorious","Indicates the black player won the game. This appears in the top left box of a game, and also the player profile.","Black is victorious","검은색 승리"
"kingInTheCenter","Indicates that the game was won by the King being in one of the center tiles (King of the hill variant: https://lichess.org/king-of-the-hill).","King in the center","왕이 중앙에 도달하였다. 승리!"
"threeChecks","Indicates that the game was won by a player checking their opponent three times. Only for the Three-check variant.","Three checks","세 번의 체크로 승리!"
"raceFinished","Ending message of a Racing Kings game (https://lichess.org/variant/racingKings).","Race finished","경주 완료"
"variantEnding","Indicates that the game was won due to variant special rules. Shown when no more specialized message is available.","Variant ending","변형 게임에서 승리!"
"newOpponent","Clicking this takes you back to the ""Play"" page (https://lichess.org). This is a button that appears at the end of a game just below the ""Rematch"" button.","New opponent","새 상대"
"yourOpponentWantsToPlayANewGameWithYou","This sentence appears when your opponent offers you a rematch.","Your opponent wants to play a new game with you","상대가 재대결을 원합니다"
"joinTheGame","Clicking this lets you join a new game against the same opponent. This is one of the two buttons that appear when your opponent offers you a rematch.","Join the game","게임 참가"
"whitePlays","This is what a spectator sees in the right-hand box when watching a game and it is White's turn to play.","White to play","흰색 차례"
"blackPlays","This is what a spectator sees in the right-hand box when watching a game and it is Black's turn to play.","Black to play","검은색 차례"
"theOtherPlayerHasLeftTheGameYouCanForceResignationOrWaitForHim","This appears after 3 minutes have elapsed with one player disconnected. Below it are two buttons: ""Claim victory"" and ""Call draw"".","The other player may have left the game. You can claim victory, call the game a draw, or wait.","상대가 게임을 나갔습니다. 상대를 기다리거나 승리 또는 무승부 처리할 수 있습니다."
"makeYourOpponentResign","The mouseover text of ""Claim victory"". You do not have to translate it like this; you can translate to e.g. ""Force victory"", or whatever best explains the button in your language. Mouseover texts can be as long as you want, within reason.","Make your opponent resign","상대를 몰수패 처리합니다"
"forceResignation","Clicking this ends the game and grants you the win. One of the two buttons that appears when your opponent leaves the game.","Claim victory","승리 처리"
"forceDraw","Clicking this draws the game. It is considered the more ""chivalrous"" option of the two. One of the two buttons that appears when your opponent leaves the game.","Call draw","무승부 처리"
