"playWithAFriend","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). This creates a unique URL that you can send to someone and play.","Play with a friend","Spela med en vän"
"playWithTheMachine","One of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/). Translate ""machine"" as ""[chess] engine"" if it sounds better in your language, omitting the word ""chess"".","Play with the machine","Spela mot datorn"
"toInviteSomeoneToPlayGiveThisUrl","This appears after you have created a game for a friend (through the ""Play with a friend"" menu). Feel free to translate ""URL"" as ""address"", or whatever is most familiar in your language.","To invite someone to play, give this URL","För att bjuda in någon att spela, ge dem den här länken"
"gameOver","This appears in the right-hand side box when a game ends.","Game Over","Partiet är slut"
"waitingForOpponent","Indicates you are waiting for an opponent to join your game. This appears after you have created a public game (through the ""Create a game"" menu).","Waiting for opponent","Väntar på motståndare"
"waiting","This appears in the challenges box, when you are waiting for the opponent the accept the challenge.","Waiting","Väntar"
"yourTurn","This appears in the box while you are playing a game. It indicates it is your turn to play.","Your turn","Din tur"
"aiNameLevelAiLevel","AI name and level, e.g. ""Stockfish level 3"". Note that the ""Stockfish"" part will always be first no matter where you place the %s, though you can rearrange them to e.g. ""%s at %s levels"", which would produce e.g. ""Stockfish at 3 levels"". Use the translation that sounds best in your language. Appears in the box on the left-hand side in the page of the game, and also on your profile, in the list of games.","%s level %s","%s nivå %s"
"level","This appears in the ""Play with the machine"" menu (https://lichess.org/setup/ai) as a heading. Below it are skill levels (1 through 8) of the AI that you can play against.","Level","Nivå"
"toggleTheChat","Turns the chat room (or player chat) on or off. This is the mouseover text of the checkbox on the top-right of the chat box.","Toggle the chat","Dölj/visa chattrutan"
"toggleSound","Clicking this turns sound on or off. This is a button on the top-right hand corner of the screen. If you use the Internet Explorer browser, you may not be able to see this.","Toggle sound","Ljud av/på"
"chat","Start a conversation with a player. Appears in the user tooltip when hovering a user name.","Chat","Chatt"
"resign","Clicking this makes you resign from the game. Small button in the box on the right while playing a game.","Resign","Ge upp"
"checkmate","Appears in the box of a game if you end a game by checkmate.","Checkmate","Schackmatt"
"stalemate","If you do not know what this rule is, see https://www.chessvariants.org/d.chess/matefaq.html. Appears in the box of a game if you end a game by stalemate. Please use the official term used by your country's or locale's chess federation or club.","Stalemate","Patt"
"white","The mouseover text of the White King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","White","Vit"
"black","The mouseover text of the Black King button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Black","Svart"
"randomColor","Makes Lichess randomly pick a side (White or Black) for you. The mouseover text of the large button in the game creation menus (e.g. ""Create a game"", ""Play with a friend"") on the ""Play"" page.","Random side","Slumpvis färg"
"createAGame","This button opens a menu (https://lichess.org/setup/hook) that lets you create a game that is listed in the list (or graph) of open games. It is one of the 3 rectangular buttons on the ""Play"" page (https://lichess.org/).","Create a game","Skapa ett parti"
"whiteIsVictorious","Indicates the white player won the game. This appears in the top left box of a game, and also the player profile.","White is victorious","Vit har vunnit"
"blackIsVictorious","Indicates the black player won the game. This appears in the top left box of a game, and also the player profile.","Black is victorious","Svart har vunnit"
"kingInTheCenter","Indicates that the game was won by the King being in one of the center tiles (King of the hill variant: https://lichess.org/king-of-the-hill).","King in the center","Kungen är i centrum"
"threeChecks","Indicates that the game was won by a player checking their opponent three times. Only for the Three-check variant.","Three checks","Tre schackar"
"raceFinished","Ending message of a Racing Kings game (https://lichess.org/variant/racingKings).","Race finished","Lopp slut"
"variantEnding","Indicates that the game was won due to variant special rules. Shown when no more specialized message is available.","Variant ending","Variantbaserat slut"
"newOpponent","Clicking this takes you back to the ""Play"" page (https://lichess.org). This is a button that appears at the end of a game just below the ""Rematch"" button.","New opponent","Ny motståndare"
"yourOpponentWantsToPlayANewGameWithYou","This sentence appears when your opponent offers you a rematch.","Your opponent wants to play a new game with you","Din motståndare vill spela ett nytt parti med dig"
"joinTheGame","Clicking this lets you join a new game against the same opponent. This is one of the two buttons that appear when your opponent offers you a rematch.","Join the game","Starta partiet"
"whitePlays","This is what a spectator sees in the right-hand box when watching a game and it is White's turn to play.","White to play","Vits drag"
"blackPlays","This is what a spectator sees in the right-hand box when watching a game and it is Black's turn to play.","Black to play","Svarts drag"
"theOtherPlayerHasLeftTheGameYouCanForceResignationOrWaitForHim","This appears after 3 minutes have elapsed with one player disconnected. Below it are two buttons: ""Claim victory"" and ""Call draw"".","The other player may have left the game. You can claim victory, call the game a draw, or wait.","Motståndaren har kanske lämnat partiet. Du kan nu begära vinst, remi eller invänta att motståndaren kommer tillbaka."
"makeYourOpponentResign","The mouseover text of ""Claim victory"". You do not have to translate it like this; you can translate to e.g. ""Force victory"", or whatever best explains the button in your language. Mouseover texts can be as long as you want, within reason.","Make your opponent resign","Tvinga din motståndare att ge upp partiet"
"forceResignation","Clicking this ends the game and grants you the win. One of the two buttons that appears when your opponent leaves the game.","Claim victory","Begär vinst"
"forceDraw","Clicking this draws the game. It is considered the more ""chivalrous"" option of the two. One of the two buttons that appears when your opponent leaves the game.","Call draw","Begär remi"
"talkInChat","Chat input placeholder, encouraging players to behave. Visible in every chat, like on https://lichess.org/tournament/summer15. Keep it short so it fits in the input box.","Please be nice in the chat!","Var snäll och uppträd trevligt i chatten!"
"theFirstPersonToComeOnThisUrlWillPlayWithYou","Informs you that Lichess waiting for your friend to visit the link. This appears at the top of the pane after you have created a game through the ""Play with a friend"" menu.","The first person to come to this URL will play with you.","Den första som använder den här länken kommer att spela med dig."
